"id","Species"
1,"setosa"
2,"setosa"
3,"setosa"
4,"setosa"
5,"setosa"
6,"setosa"
7,"setosa"
8,"setosa"
9,"setosa"
10,"setosa"
11,"setosa"
12,"setosa"
13,"setosa"
14,"setosa"
15,"setosa"
16,"setosa"
17,"setosa"
18,"setosa"
19,"setosa"
20,"setosa"
21,"setosa"
22,"setosa"
23,"setosa"
24,"setosa"
25,"setosa"
26,"setosa"
27,"setosa"
28,"setosa"
29,"setosa"
30,"setosa"
31,"setosa"
32,"setosa"
33,"setosa"
34,"setosa"
35,"setosa"
36,"setosa"
37,"setosa"
38,"setosa"
39,"setosa"
40,"setosa"
41,"setosa"
42,"setosa"
43,"setosa"
44,"setosa"
45,"setosa"
46,"setosa"
47,"setosa"
48,"setosa"
49,"setosa"
50,"setosa"
51,"versicolor"
52,"versicolor"
53,"versicolor"
54,"versicolor"
55,"versicolor"
56,"versicolor"
57,"versicolor"
58,"versicolor"
59,"versicolor"
60,"versicolor"
61,"versicolor"
62,"versicolor"
63,"versicolor"
64,"versicolor"
65,"versicolor"
66,"versicolor"
67,"versicolor"
68,"versicolor"
69,"versicolor"
70,"versicolor"
71,"versicolor"
72,"versicolor"
73,"versicolor"
74,"versicolor"
75,"versicolor"
