"id","Sepal.Length","Sepal.Width","Petal.Length","Petal.Width"
76,6.6,3,4.4,1.4
77,6.8,2.8,4.8,1.4
78,6.7,3,5,1.7
79,6,2.9,4.5,1.5
80,5.7,2.6,3.5,1
81,5.5,2.4,3.8,1.1
82,5.5,2.4,3.7,1
83,5.8,2.7,3.9,1.2
84,6,2.7,5.1,1.6
85,5.4,3,4.5,1.5
86,6,3.4,4.5,1.6
87,6.7,3.1,4.7,1.5
88,6.3,2.3,4.4,1.3
89,5.6,3,4.1,1.3
90,5.5,2.5,4,1.3
91,5.5,2.6,4.4,1.2
92,6.1,3,4.6,1.4
93,5.8,2.6,4,1.2
94,5,2.3,3.3,1
95,5.6,2.7,4.2,1.3
96,5.7,3,4.2,1.2
97,5.7,2.9,4.2,1.3
98,6.2,2.9,4.3,1.3
99,5.1,2.5,3,1.1
100,5.7,2.8,4.1,1.3
101,6.3,3.3,6,2.5
102,5.8,2.7,5.1,1.9
103,7.1,3,5.9,2.1
104,6.3,2.9,5.6,1.8
105,6.5,3,5.8,2.2
106,7.6,3,6.6,2.1
107,4.9,2.5,4.5,1.7
108,7.3,2.9,6.3,1.8
109,6.7,2.5,5.8,1.8
110,7.2,3.6,6.1,2.5
111,6.5,3.2,5.1,2
112,6.4,2.7,5.3,1.9
113,6.8,3,5.5,2.1
114,5.7,2.5,5,2
115,5.8,2.8,5.1,2.4
116,6.4,3.2,5.3,2.3
117,6.5,3,5.5,1.8
118,7.7,3.8,6.7,2.2
119,7.7,2.6,6.9,2.3
120,6,2.2,5,1.5
121,6.9,3.2,5.7,2.3
122,5.6,2.8,4.9,2
123,7.7,2.8,6.7,2
124,6.3,2.7,4.9,1.8
125,6.7,3.3,5.7,2.1
126,7.2,3.2,6,1.8
127,6.2,2.8,4.8,1.8
128,6.1,3,4.9,1.8
129,6.4,2.8,5.6,2.1
130,7.2,3,5.8,1.6
131,7.4,2.8,6.1,1.9
132,7.9,3.8,6.4,2
133,6.4,2.8,5.6,2.2
134,6.3,2.8,5.1,1.5
135,6.1,2.6,5.6,1.4
136,7.7,3,6.1,2.3
137,6.3,3.4,5.6,2.4
138,6.4,3.1,5.5,1.8
139,6,3,4.8,1.8
140,6.9,3.1,5.4,2.1
141,6.7,3.1,5.6,2.4
142,6.9,3.1,5.1,2.3
143,5.8,2.7,5.1,1.9
144,6.8,3.2,5.9,2.3
145,6.7,3.3,5.7,2.5
146,6.7,3,5.2,2.3
147,6.3,2.5,5,1.9
148,6.5,3,5.2,2
149,6.2,3.4,5.4,2.3
150,5.9,3,5.1,1.8
